,season,month,holiday,day_of_week,workingday,weather,temp,atemp,humidity,windspeed,count
0,1,2,0,4,1,1,2,6,56.2083,0.194037,3830
1,1,12,0,4,1,2,1,3,65.2917,0.350133,2114
2,2,6,0,4,1,2,36,37,56.8333,0.149883,915
3,1,2,0,1,1,1,8,12,49.0833,0.268033,4322
4,2,5,0,0,0,1,28,29,69.7083,0.215171,6591
5,3,8,0,2,1,1,25,26,54.8333,0.125008,5204
6,4,11,0,4,1,1,3,8,55.5652,0.115522,5323
7,3,9,1,1,0,2,27,28,79.0417,0.212696,3351
8,1,12,0,4,1,2,12,16,75.75,0.047275,7258
9,2,6,0,2,1,2,26,27,83.3333,0.214546,4972
10,2,5,0,0,0,2,13,17,76.2083,0.106354,3351
11,1,3,0,5,1,2,5,8,64.9565,0.23297,1977
12,1,1,0,0,0,1,-6,-4,43.4167,0.36195,822
13,1,12,0,6,0,1,11,15,61.5833,0.220154,2485
14,2,6,0,5,1,1,26,27,46.7917,0.175383,7736
15,1,1,0,3,1,2,-8,-3,41.4583,0.1847,2368
16,3,6,0,4,1,1,29,29,43.4167,0.185312,5515
17,2,5,0,4,1,1,17,20,55.2083,0.314063,6572
18,3,9,0,6,0,2,16,19,71.8333,0.189675,4511
19,2,5,0,1,1,2,23,25,81.125,0.233204,4359
20,1,3,0,2,1,1,2,6,53.5,0.216425,1851
21,3,6,0,3,1,1,29,29,36,0.271775,1430
22,3,8,0,1,1,1,29,29,47,0.27675,818
23,1,2,0,0,0,2,3,6,51.5833,0.253112,7766
24,2,6,0,6,0,1,31,32,65.4583,0.15485,4966
25,1,3,0,6,0,1,3,6,35.0417,0.22575,4118
26,3,8,0,6,0,1,35,36,61.3333,0.257458,3569
27,1,2,0,2,1,1,7,12,49.625,0.147379,4375
28,1,2,0,0,0,1,3,6,41,0.205229,3389
29,1,2,0,4,1,1,12,16,50.5,0.230104,2475
30,1,12,0,0,0,1,2,7,68.1304,0.155091,754
31,4,12,0,2,1,1,3,8,59,0.14055,3523
32,2,4,0,5,1,2,6,9,72.9583,0.219521,1683
33,1,12,0,6,0,1,2,4,44.125,0.407346,1749
34,3,7,0,4,1,1,37,37,45.7917,0.194029,6241
35,4,10,0,1,1,1,19,21,57.9583,0.175379,4570
36,1,1,0,1,1,1,-9,-4,49.1739,0.15833,1416
37,4,11,1,5,0,1,5,8,44.625,0.314675,8872
38,3,7,0,4,1,1,34,34,60.0417,0.165429,6591
39,1,1,0,6,0,1,5,10,54.3333,0.210829,4023
40,2,5,0,0,0,2,20,23,86.7083,0.152979,4553
41,2,5,0,3,1,1,25,27,69.7917,0.122512,2180
42,3,7,0,6,0,1,39,40,49.2083,0.163554,4840
43,2,5,0,2,1,2,22,24,68.5833,0.296029,360
44,3,6,0,6,0,1,29,30,48.3333,0.209571,5202
45,2,5,0,3,1,2,21,24,74.4167,0.216412,4717
46,2,5,0,4,1,1,28,29,49.2917,0.195279,7338
47,4,11,0,1,1,1,10,14,75.875,0.057225,4035
48,4,11,0,6,0,1,3,5,40.4583,0.376871,2277
49,3,8,0,5,1,1,30,30,63.0833,0.184696,4866
50,2,4,0,2,1,2,17,20,73.9167,0.274879,2034
51,4,10,0,3,1,1,22,24,63.625,0.072779,7693
52,4,12,0,1,1,1,2,7,63.75,0.172896,3403
53,1,2,0,0,0,1,3,6,40.7826,0.223235,1812
54,4,10,0,5,1,1,12,16,57.4167,0.221396,4304
55,1,2,0,0,0,2,2,6,68.7917,0.175996,2947
56,1,2,0,6,0,1,3,7,53.7917,0.186571,1969
57,3,8,0,2,1,1,26,27,67.375,0.072771,7006
58,3,7,0,3,1,1,34,33,40.2917,0.183463,4656
59,1,1,0,4,1,2,1,5,53.8333,0.195904,1927
60,1,1,0,1,1,2,-1,5,70.1667,0.0989,2376
61,1,3,0,3,1,1,6,9,44.9583,0.307833,2134
62,3,7,0,4,1,1,28,29,47.625,0.240667,5084
63,2,3,0,3,1,2,7,10,83.9565,0.234261,2121
64,1,2,0,5,1,1,7,11,63.4583,0.205846,4154
65,2,5,0,6,0,1,23,25,45.625,0.083975,8294
66,3,7,0,4,1,1,32,32,65.125,0.1592,4592
67,4,12,0,3,1,2,4,8,53.8333,0.162937,5319
68,1,3,0,4,1,1,-3,2,31.8333,0.225754,1685
69,2,4,0,2,1,2,17,20,66.5833,0.157971,3204
70,3,8,0,4,1,1,32,34,65.9583,0.129354,7261
71,2,6,0,2,1,1,28,30,69,0.148017,6825
